"team_name" "Average Pull Time" "year" "playoff" "one_goal"
"249" "Toronto Maple Leafs" 84.8 2018 TRUE "TRUE"
"250" "Vegas Golden Knights" 78.6666666666667 2018 TRUE "TRUE"
"251" "Washington Capitals" 91 2018 TRUE "TRUE"
"252" "Winnipeg Jets" 38.7142857142857 2018 TRUE "TRUE"
"253" "Boston Bruins" 80.3333333333333 2018 TRUE "FALSE"
"254" "Colorado Avalanche" 61.25 2018 TRUE "FALSE"
"255" "Dallas Stars" 180 2018 TRUE "FALSE"
"256" "Nashville Predators" 70.3333333333333 2018 TRUE "FALSE"
"257" "Pittsburgh Penguins" 81.5 2018 TRUE "FALSE"
"258" "San Jose Sharks" 85.9642857142857 2018 TRUE "FALSE"
"259" "St. Louis Blues" 133.4 2018 TRUE "FALSE"
"260" "Tampa Bay Lightning" 39.5 2018 TRUE "FALSE"
"261" "Toronto Maple Leafs" 31.6666666666667 2018 TRUE "FALSE"
"262" "Vegas Golden Knights" 140.833333333333 2018 TRUE "FALSE"
"263" "Winnipeg Jets" 158 2018 TRUE "FALSE"
"264" "Anaheim Ducks" 56.6857142857143 2019 FALSE "TRUE"
"265" "Arizona Coyotes" 62.4901960784314 2019 FALSE "TRUE"
"266" "Boston Bruins" 66.4444444444444 2019 FALSE "TRUE"
"267" "Buffalo Sabres" 73.5813953488372 2019 FALSE "TRUE"
"268" "Calgary Flames" 72.5 2019 FALSE "TRUE"
"269" "Carolina Hurricanes" 74.5416666666667 2019 FALSE "TRUE"
"270" "Chicago Blackhawks" 66.4565217391304 2019 FALSE "TRUE"
"271" "Colorado Avalanche" 69.8723404255319 2019 FALSE "TRUE"
"272" "Columbus Blue Jackets" 52.0714285714286 2019 FALSE "TRUE"
"273" "Dallas Stars" 47.8 2019 FALSE "TRUE"
"274" "Detroit Red Wings" 81.9210526315789 2019 FALSE "TRUE"
"275" "Edmonton Oilers" 68.1428571428571 2019 FALSE "TRUE"
"276" "Florida Panthers" 56.5454545454545 2019 FALSE "TRUE"
"277" "Los Angeles Kings" 59.2631578947368 2019 FALSE "TRUE"
"278" "Minnesota Wild" 53.1388888888889 2019 FALSE "TRUE"
"279" "Montreal Canadiens" 47.4590163934426 2019 FALSE "TRUE"
"280" "Nashville Predators" 45.6923076923077 2019 FALSE "TRUE"
"281" "New Jersey Devils" 34.5714285714286 2019 FALSE "TRUE"
"282" "New York Islanders" 66.5625 2019 FALSE "TRUE"
"283" "New York Rangers" 56.9565217391304 2019 FALSE "TRUE"
"284" "Ottawa Senators" 65.8709677419355 2019 FALSE "TRUE"
"285" "Philadelphia Flyers" 91.2307692307692 2019 FALSE "TRUE"
"286" "Pittsburgh Penguins" 26.0555555555556 2019 FALSE "TRUE"
"287" "San Jose Sharks" 42.025 2019 FALSE "TRUE"
"288" "St. Louis Blues" 73.6333333333333 2019 FALSE "TRUE"
"289" "Tampa Bay Lightning" 58.4310344827586 2019 FALSE "TRUE"
"290" "Toronto Maple Leafs" 72.6046511627907 2019 FALSE "TRUE"
"291" "Vancouver Canucks" 58.1739130434783 2019 FALSE "TRUE"
"292" "Vegas Golden Knights" 57.906976744186 2019 FALSE "TRUE"
"293" "Washington Capitals" 58.6444444444444 2019 FALSE "TRUE"
"294" "Winnipeg Jets" 59.078431372549 2019 FALSE "TRUE"
"295" "Anaheim Ducks" 79.15 2019 FALSE "FALSE"
"296" "Arizona Coyotes" 80 2019 FALSE "FALSE"
"297" "Boston Bruins" 60 2019 FALSE "FALSE"
"298" "Buffalo Sabres" 93.0943396226415 2019 FALSE "FALSE"
"299" "Calgary Flames" 90.2857142857143 2019 FALSE "FALSE"
"300" "Carolina Hurricanes" 82.6451612903226 2019 FALSE "FALSE"
"301" "Chicago Blackhawks" 88.4615384615385 2019 FALSE "FALSE"
"302" "Colorado Avalanche" 96.4444444444444 2019 FALSE "FALSE"
"303" "Columbus Blue Jackets" 96.9285714285714 2019 FALSE "FALSE"
"304" "Dallas Stars" 68.68 2019 FALSE "FALSE"
"305" "Detroit Red Wings" 135.772727272727 2019 FALSE "FALSE"
"306" "Edmonton Oilers" 129.6 2019 FALSE "FALSE"
"307" "Florida Panthers" 107.903225806452 2019 FALSE "FALSE"
"308" "Los Angeles Kings" 82.7222222222222 2019 FALSE "FALSE"
"309" "Minnesota Wild" 81.5277777777778 2019 FALSE "FALSE"
"310" "Montreal Canadiens" 88.1891891891892 2019 FALSE "FALSE"
"311" "Nashville Predators" 85.75 2019 FALSE "FALSE"
"312" "New Jersey Devils" 67.9 2019 FALSE "FALSE"
"313" "New York Islanders" 71.6842105263158 2019 FALSE "FALSE"
"314" "New York Rangers" 57.6666666666667 2019 FALSE "FALSE"
"315" "Ottawa Senators" 73.5128205128205 2019 FALSE "FALSE"
"316" "Philadelphia Flyers" 117.361111111111 2019 FALSE "FALSE"
"317" "Pittsburgh Penguins" 94.7 2019 FALSE "FALSE"
"318" "San Jose Sharks" 78.2272727272727 2019 FALSE "FALSE"
"319" "St. Louis Blues" 61.0625 2019 FALSE "FALSE"
"320" "Tampa Bay Lightning" 75 2019 FALSE "FALSE"
"321" "Toronto Maple Leafs" 85.125 2019 FALSE "FALSE"
"322" "Vancouver Canucks" 67.9166666666667 2019 FALSE "FALSE"
"323" "Vegas Golden Knights" 69.6666666666667 2019 FALSE "FALSE"
"324" "Washington Capitals" 99.0952380952381 2019 FALSE "FALSE"
"325" "Winnipeg Jets" 69.9565217391304 2019 FALSE "FALSE"
"326" "Arizona Coyotes" 58.5 2019 TRUE "TRUE"
"327" "Boston Bruins" 15 2019 TRUE "TRUE"
"328" "Calgary Flames" 52.75 2019 TRUE "TRUE"
"329" "Carolina Hurricanes" 66.875 2019 TRUE "TRUE"
"330" "Chicago Blackhawks" 14.6666666666667 2019 TRUE "TRUE"
"331" "Colorado Avalanche" 53.5 2019 TRUE "TRUE"
"332" "Columbus Blue Jackets" 87 2019 TRUE "TRUE"
