"team_name" "Number of Pulls " "year" "playoff" "one_goal"
"252" "Winnipeg Jets" 2 2018 TRUE TRUE
"253" "Boston Bruins" 2 2018 TRUE FALSE
"254" "Colorado Avalanche" 2 2018 TRUE FALSE
"255" "Dallas Stars" 1 2018 TRUE FALSE
"256" "Nashville Predators" 1 2018 TRUE FALSE
"257" "Pittsburgh Penguins" 2 2018 TRUE FALSE
"258" "San Jose Sharks" 4 2018 TRUE FALSE
"259" "St. Louis Blues" 3 2018 TRUE FALSE
"260" "Tampa Bay Lightning" 1 2018 TRUE FALSE
"261" "Toronto Maple Leafs" 1 2018 TRUE FALSE
"262" "Vegas Golden Knights" 2 2018 TRUE FALSE
"263" "Winnipeg Jets" 1 2018 TRUE FALSE
"264" "Anaheim Ducks" 14 2019 FALSE TRUE
"265" "Arizona Coyotes" 17 2019 FALSE TRUE
"266" "Boston Bruins" 9 2019 FALSE TRUE
"267" "Buffalo Sabres" 13 2019 FALSE TRUE
"268" "Calgary Flames" 11 2019 FALSE TRUE
"269" "Carolina Hurricanes" 10 2019 FALSE TRUE
"270" "Chicago Blackhawks" 16 2019 FALSE TRUE
"271" "Colorado Avalanche" 10 2019 FALSE TRUE
"272" "Columbus Blue Jackets" 10 2019 FALSE TRUE
"273" "Dallas Stars" 11 2019 FALSE TRUE
"274" "Detroit Red Wings" 13 2019 FALSE TRUE
"275" "Edmonton Oilers" 9 2019 FALSE TRUE
"276" "Florida Panthers" 14 2019 FALSE TRUE
"277" "Los Angeles Kings" 21 2019 FALSE TRUE
"278" "Minnesota Wild" 9 2019 FALSE TRUE
"279" "Montreal Canadiens" 18 2019 FALSE TRUE
"280" "Nashville Predators" 7 2019 FALSE TRUE
"281" "New Jersey Devils" 5 2019 FALSE TRUE
"282" "New York Islanders" 13 2019 FALSE TRUE
"283" "New York Rangers" 9 2019 FALSE TRUE
"284" "Ottawa Senators" 10 2019 FALSE TRUE
"285" "Philadelphia Flyers" 4 2019 FALSE TRUE
"286" "Pittsburgh Penguins" 6 2019 FALSE TRUE
"287" "San Jose Sharks" 12 2019 FALSE TRUE
"288" "St. Louis Blues" 10 2019 FALSE TRUE
"289" "Tampa Bay Lightning" 14 2019 FALSE TRUE
"290" "Toronto Maple Leafs" 14 2019 FALSE TRUE
"291" "Vancouver Canucks" 11 2019 FALSE TRUE
