"Team" "Comeback%" "Comeback_oppertunities" "Meltdown%" "Meltdown_oppertunities" "year" "playoff"
"205" "Los Angeles Kings" 0 3 0 0 2017 TRUE
"206" "Minnesota Wild" 0 2 0 0 2017 TRUE
"207" "Nashville Predators" 0 2 0.25 4 2017 TRUE
"208" "New Jersey Devils" 0 1 0 1 2017 TRUE
"209" "Pittsburgh Penguins" 0 2 0 1 2017 TRUE
"210" "San Jose Sharks" 0 1 0 2 2017 TRUE
"211" "Tampa Bay Lightning" 0 1 0 4 2017 TRUE
"212" "Vegas Golden Knights" 0 2 0 6 2017 TRUE
"213" "Washington Capitals" 0 3 0 3 2017 TRUE
"214" "Winnipeg Jets" 0.25 4 0 3 2017 TRUE
"215" "Philadelphia Flyers" 0 0 0 1 2017 TRUE
"216" "Toronto Maple Leafs" 0 0 0 1 2017 TRUE
"217" "Boston Bruins" 0 5 0 3 2018 TRUE
"218" "Carolina Hurricanes" 0 2 0 3 2018 TRUE
"219" "Colorado Avalanche" 0 3 0 1 2018 TRUE
"220" "Columbus Blue Jackets" 0 1 0 4 2018 TRUE
"221" "Dallas Stars" 0 3 0 3 2018 TRUE
"222" "Nashville Predators" 0 1 0 1 2018 TRUE
"223" "New York Islanders" 0 2 0 1 2018 TRUE
"224" "Pittsburgh Penguins" 0 1 0 0 2018 TRUE
"225" "San Jose Sharks" 0.333333333333333 3 0.25 4 2018 TRUE
"226" "St. Louis Blues" 0 2 0.142857142857143 7 2018 TRUE
"227" "Tampa Bay Lightning" 0 3 0 0 2018 TRUE
"228" "Toronto Maple Leafs" 0 1 0 3 2018 TRUE
"229" "Vegas Golden Knights" 1 1 0 0 2018 TRUE
"230" "Washington Capitals" 0 1 0 1 2018 TRUE
"231" "Winnipeg Jets" 0 2 0 0 2018 TRUE
"232" "Arizona Coyotes" 0 1 0.333333333333333 3 2019 TRUE
"233" "Boston Bruins" 0 2 0 4 2019 TRUE
"234" "Calgary Flames" 0 2 1 1 2019 TRUE
"235" "Carolina Hurricanes" 0 3 0 2 2019 TRUE
"236" "Chicago Blackhawks" 0 2 0 3 2019 TRUE
"237" "Colorado Avalanche" 0.333333333333333 3 0 2 2019 TRUE
"238" "Columbus Blue Jackets" 0 1 1 2 2019 TRUE
"239" "Dallas Stars" 0.4 5 0 5 2019 TRUE
"240" "Edmonton Oilers" 0 2 0 0 2019 TRUE
"241" "Minnesota Wild" 0 1 0 0 2019 TRUE
"242" "Montreal Canadiens" 0 4 0 3 2019 TRUE
"243" "Nashville Predators" 0.5 2 0 0 2019 TRUE
"244" "New York Islanders" 0 3 0 2 2019 TRUE
"245" "New York Rangers" 0 1 0 0 2019 TRUE
"246" "Philadelphia Flyers" 0 2 0 3 2019 TRUE
"247" "Pittsburgh Penguins" 0 2 0 1 2019 TRUE
"248" "St. Louis Blues" 0.5 2 1 1 2019 TRUE
"249" "Tampa Bay Lightning" 0.333333333333333 3 0 3 2019 TRUE
"250" "Toronto Maple Leafs" 1 1 0 0 2019 TRUE
"251" "Vegas Golden Knights" 0 4 0.25 4 2019 TRUE
"252" "Florida Panthers" 0 0 0 1 2019 TRUE
"253" "Vancouver Canucks" 0 0 0.25 4 2019 TRUE
"254" "Washington Capitals" 0 0 0 2 2019 TRUE
"255" "Boston Bruins" 0 1 0 0 2020 TRUE
"256" "Carolina Hurricanes" 0 2 0 1 2020 TRUE
"257" "Colorado Avalanche" 0 1 0 0 2020 TRUE
"258" "Florida Panthers" 0 2 0 0 2020 TRUE
"259" "Minnesota Wild" 0 1 0 1 2020 TRUE
"260" "Montreal Canadiens" 0 2 0 4 2020 TRUE
"261" "Nashville Predators" 0 1 0 0 2020 TRUE
"262" "New York Islanders" 0 3 0 3 2020 TRUE
"263" "Tampa Bay Lightning" 0 2 0 7 2020 TRUE
"264" "Toronto Maple Leafs" 0 1 0 1 2020 TRUE
"265" "Vegas Golden Knights" 0 2 0 2 2020 TRUE
"266" "Winnipeg Jets" 0 2 0 0 2020 TRUE
"267" "Pittsburgh Penguins" 0 0 0 1 2020 TRUE
"268" "Boston Bruins" 0 1 0 0 2021 TRUE
"269" "Calgary Flames" 0 1 0 2 2021 TRUE
"270" "Dallas Stars" 0 2 0 1 2021 TRUE
"271" "Edmonton Oilers" 0 3 0 0 2021 TRUE
"272" "Florida Panthers" 0.5 2 1 1 2021 TRUE
"273" "New York Rangers" 0 4 0 3 2021 TRUE
"274" "Pittsburgh Penguins" 0 2 0 1 2021 TRUE
"275" "St. Louis Blues" 1 1 0 0 2021 TRUE
"276" "Tampa Bay Lightning" 0 2 0 3 2021 TRUE
"277" "Toronto Maple Leafs" 0 1 0 1 2021 TRUE
"278" "Washington Capitals" 1 1 0.5 2 2021 TRUE
"279" "Carolina Hurricanes" 0 0 0 2 2021 TRUE
"280" "Colorado Avalanche" 0 0 0.333333333333333 3 2021 TRUE
"281" "Los Angeles Kings" 0 0 0 1 2021 TRUE
