"team_name" "Average Pull Time" "year" "playoff" "one_goal" "Number of Pulls " "tot"
"26" "Tampa Bay Lightning" 63.4615384615385 2016 FALSE TRUE 9 571.153846153846
"27" "Toronto Maple Leafs" 70.0416666666667 2016 FALSE TRUE 9 630.375
"28" "Vancouver Canucks" 49.2444444444444 2016 FALSE TRUE 14 689.422222222222
"29" "Washington Capitals" 52.037037037037 2016 FALSE TRUE 8 416.296296296296
"30" "Winnipeg Jets" 51.3 2016 FALSE TRUE 11 564.3
"31" "Anaheim Ducks" 94.5 2016 FALSE FALSE 3 283.5
"32" "Arizona Coyotes" 41.7619047619048 2016 FALSE FALSE 12 501.142857142857
"33" "Boston Bruins" 80.34375 2016 FALSE FALSE 9 723.09375
"34" "Buffalo Sabres" 35.44 2016 FALSE FALSE 9 318.96
"35" "Calgary Flames" 73.8529411764706 2016 FALSE FALSE 10 738.529411764706
"36" "Carolina Hurricanes" 99.5172413793103 2016 FALSE FALSE 7 696.620689655172
"37" "Chicago Blackhawks" 64.15 2016 FALSE FALSE 6 384.9
"38" "Colorado Avalanche" 57.2380952380952 2016 FALSE FALSE 15 858.571428571429
"39" "Columbus Blue Jackets" 80.5555555555556 2016 FALSE FALSE 7 563.888888888889
"40" "Dallas Stars" 74.25 2016 FALSE FALSE 13 965.25
"41" "Detroit Red Wings" 70.195652173913 2016 FALSE FALSE 12 842.347826086957
"42" "Edmonton Oilers" 77.1111111111111 2016 FALSE FALSE 9 694
"43" "Florida Panthers" 82.9 2016 FALSE FALSE 10 829
"44" "Los Angeles Kings" 89.2608695652174 2016 FALSE FALSE 10 892.608695652174
"45" "Minnesota Wild" 56.5757575757576 2016 FALSE FALSE 8 452.606060606061
"46" "Montreal Canadiens" 66.48 2016 FALSE FALSE 6 398.88
"47" "Nashville Predators" 93.1153846153846 2016 FALSE FALSE 11 1024.26923076923
"48" "New Jersey Devils" 97.6176470588235 2016 FALSE FALSE 10 976.176470588235
"49" "New York Islanders" 63.3846153846154 2016 FALSE FALSE 6 380.307692307692
"50" "New York Rangers" 77.2222222222222 2016 FALSE FALSE 8 617.777777777778
"51" "Ottawa Senators" 41.5625 2016 FALSE FALSE 4 166.25
"52" "Philadelphia Flyers" 51.4722222222222 2016 FALSE FALSE 11 566.194444444444
"53" "Pittsburgh Penguins" 114.6 2016 FALSE FALSE 4 458.4
"54" "San Jose Sharks" 99.1111111111111 2016 FALSE FALSE 7 693.777777777778
"55" "St. Louis Blues" 39.0434782608696 2016 FALSE FALSE 10 390.434782608696
"56" "Tampa Bay Lightning" 97.7608695652174 2016 FALSE FALSE 10 977.608695652174
"57" "Toronto Maple Leafs" 74.5555555555556 2016 FALSE FALSE 5 372.777777777778
"58" "Vancouver Canucks" 71 2016 FALSE FALSE 15 1065
"59" "Washington Capitals" 72.6923076923077 2016 FALSE FALSE 5 363.461538461538
"60" "Winnipeg Jets" 68.75 2016 FALSE FALSE 11 756.25
"61" "Anaheim Ducks" 39.1666666666667 2016 TRUE TRUE 2 78.3333333333333
"62" "Boston Bruins" 40.3333333333333 2016 TRUE TRUE 1 40.3333333333333
"63" "Calgary Flames" 35 2016 TRUE TRUE 3 105
"64" "Chicago Blackhawks" 75.5 2016 TRUE TRUE 1 75.5
"65" "Edmonton Oilers" 92.4285714285714 2016 TRUE TRUE 2 184.857142857143
"66" "Minnesota Wild" 75.2222222222222 2016 TRUE TRUE 3 225.666666666667
"67" "Montreal Canadiens" 56.6666666666667 2016 TRUE TRUE 4 226.666666666667
"68" "Nashville Predators" 45.2857142857143 2016 TRUE TRUE 4 181.142857142857
"69" "New York Rangers" 63.6666666666667 2016 TRUE TRUE 2 127.333333333333
"70" "Ottawa Senators" 48.8333333333333 2016 TRUE TRUE 5 244.166666666667
"71" "Pittsburgh Penguins" 58.4 2016 TRUE TRUE 2 116.8
"72" "San Jose Sharks" 43.25 2016 TRUE TRUE 2 86.5
"73" "St. Louis Blues" 72.1666666666667 2016 TRUE TRUE 3 216.5
"74" "Toronto Maple Leafs" 16.5 2016 TRUE TRUE 1 16.5
"75" "Washington Capitals" 64.3333333333333 2016 TRUE TRUE 1 64.3333333333333
"76" "Anaheim Ducks" 70.4285714285714 2016 TRUE FALSE 4 281.714285714286
"77" "Chicago Blackhawks" 131 2016 TRUE FALSE 1 131
"78" "Columbus Blue Jackets" 84.1428571428571 2016 TRUE FALSE 2 168.285714285714
"79" "Minnesota Wild" 16 2016 TRUE FALSE 1 16
"80" "Montreal Canadiens" 36 2016 TRUE FALSE 1 36
"81" "Nashville Predators" 18.2857142857143 2016 TRUE FALSE 2 36.5714285714286
"82" "New York Rangers" 105.5 2016 TRUE FALSE 1 105.5
"83" "Pittsburgh Penguins" 99.9090909090909 2016 TRUE FALSE 3 299.727272727273
"84" "San Jose Sharks" 130.5 2016 TRUE FALSE 1 130.5
"85" "St. Louis Blues" 86 2016 TRUE FALSE 3 258
"86" "Toronto Maple Leafs" 100.4 2016 TRUE FALSE 1 100.4
"87" "Washington Capitals" 40.25 2016 TRUE FALSE 1 40.25
"88" "Anaheim Ducks" 48.0769230769231 2017 FALSE TRUE 11 528.846153846154
"89" "Arizona Coyotes" 52.6315789473684 2017 FALSE TRUE 17 894.736842105263
"90" "Boston Bruins" 47.72 2017 FALSE TRUE 10 477.2
"91" "Buffalo Sabres" 63.5 2017 FALSE TRUE 21 1333.5
"92" "Calgary Flames" 48.8620689655172 2017 FALSE TRUE 5 244.310344827586
"93" "Carolina Hurricanes" 80.1836734693878 2017 FALSE TRUE 16 1282.9387755102
"94" "Chicago Blackhawks" 57.2352941176471 2017 FALSE TRUE 9 515.117647058824
"95" "Colorado Avalanche" 52.9791666666667 2017 FALSE TRUE 9 476.8125
"96" "Columbus Blue Jackets" 46.4444444444444 2017 FALSE TRUE 11 510.888888888889
"97" "Dallas Stars" 61.8518518518519 2017 FALSE TRUE 9 556.666666666667
"98" "Detroit Red Wings" 68.7368421052632 2017 FALSE TRUE 16 1099.78947368421
"99" "Edmonton Oilers" 45.5714285714286 2017 FALSE TRUE 17 774.714285714286
"100" "Florida Panthers" 51.8387096774194 2017 FALSE TRUE 11 570.225806451613
"101" "Los Angeles Kings" 45.171875 2017 FALSE TRUE 17 767.921875
"102" "Minnesota Wild" 64.3243243243243 2017 FALSE TRUE 11 707.567567567567
"103" "Montreal Canadiens" 63.5 2017 FALSE TRUE 5 317.5
"104" "Nashville Predators" 63.4102564102564 2017 FALSE TRUE 11 697.512820512821
"105" "New Jersey Devils" 70.7105263157895 2017 FALSE TRUE 12 848.526315789474
"106" "New York Islanders" 50.5762711864407 2017 FALSE TRUE 19 960.949152542373
"107" "New York Rangers" 55.4054054054054 2017 FALSE TRUE 13 720.27027027027
"108" "Ottawa Senators" 41.5797101449275 2017 FALSE TRUE 17 706.855072463768
"109" "Philadelphia Flyers" 46.9130434782609 2017 FALSE TRUE 12 562.95652173913
"110" "Pittsburgh Penguins" 51.462962962963 2017 FALSE TRUE 15 771.944444444444
"111" "San Jose Sharks" 46.0789473684211 2017 FALSE TRUE 11 506.868421052632
"112" "St. Louis Blues" 63.0869565217391 2017 FALSE TRUE 8 504.695652173913
"113" "Tampa Bay Lightning" 56.741935483871 2017 FALSE TRUE 7 397.193548387097
"114" "Toronto Maple Leafs" 88.3265306122449 2017 FALSE TRUE 12 1059.91836734694
"115" "Vancouver Canucks" 46.09375 2017 FALSE TRUE 13 599.21875
"116" "Vegas Golden Knights" 53.1475409836066 2017 FALSE TRUE 12 637.770491803279
"117" "Washington Capitals" 52.9032258064516 2017 FALSE TRUE 11 581.935483870968
"118" "Winnipeg Jets" 51.2 2017 FALSE TRUE 6 307.2
"119" "Anaheim Ducks" 69.8787878787879 2017 FALSE FALSE 10 698.787878787879
"120" "Arizona Coyotes" 60.5740740740741 2017 FALSE FALSE 12 726.888888888889
"121" "Boston Bruins" 77.4 2017 FALSE FALSE 8 619.2
"122" "Buffalo Sabres" 107.62 2017 FALSE FALSE 10 1076.2
"123" "Calgary Flames" 78.0975609756098 2017 FALSE FALSE 11 859.073170731707
"124" "Carolina Hurricanes" 76.7586206896552 2017 FALSE FALSE 8 614.068965517241
"125" "Chicago Blackhawks" 85.75 2017 FALSE FALSE 16 1372
"126" "Colorado Avalanche" 75.6071428571429 2017 FALSE FALSE 10 756.071428571429
"127" "Columbus Blue Jackets" 61.8214285714286 2017 FALSE FALSE 10 618.214285714286
"128" "Dallas Stars" 108.428571428571 2017 FALSE FALSE 10 1084.28571428571
"129" "Detroit Red Wings" 101.304347826087 2017 FALSE FALSE 7 709.130434782609
"130" "Edmonton Oilers" 94 2017 FALSE FALSE 6 564
"131" "Florida Panthers" 101 2017 FALSE FALSE 6 606
"132" "Los Angeles Kings" 46.0833333333333 2017 FALSE FALSE 5 230.416666666667
"133" "Minnesota Wild" 88.7619047619048 2017 FALSE FALSE 7 621.333333333333
"134" "Montreal Canadiens" 71.7407407407407 2017 FALSE FALSE 13 932.62962962963
"135" "Nashville Predators" 59.1666666666667 2017 FALSE FALSE 4 236.666666666667
"136" "New Jersey Devils" 50.5217391304348 2017 FALSE FALSE 7 353.652173913043
"137" "New York Islanders" 76.0882352941177 2017 FALSE FALSE 9 684.794117647059
"138" "New York Rangers" 98.6470588235294 2017 FALSE FALSE 12 1183.76470588235
"139" "Ottawa Senators" 87.3658536585366 2017 FALSE FALSE 13 1135.75609756098
"140" "Philadelphia Flyers" 84.304347826087 2017 FALSE FALSE 8 674.434782608696
"141" "Pittsburgh Penguins" 93.1142857142857 2017 FALSE FALSE 9 838.028571428571
"142" "San Jose Sharks" 94.4146341463415 2017 FALSE FALSE 10 944.146341463415
